feature,importance
hour_max,0.17871827
hour_count,0.09618656
platelets_mean,0.047616914
platelets_min,0.034277037
sofa_platelets_mean,0.03028827
sofa_x_map_max,0.024730386
creatinine_high_mean,0.02284667
sofa_x_creatinine_mean,0.020568047
spo2_temp_ratio_mean,0.017422842
temp_range,0.017350148
temperature_max,0.016874066
map_hr_ratio_min,0.015336855
lactate_max,0.015147785
temperature_min,0.015015154
sofa_x_map_mean,0.014186586
sofa_platelets_max,0.014141551
sofa_creatinine_mean,0.0133861555
sofa_x_creatinine_max,0.013000417
hr_range,0.012891248
sofa_x_hr_max,0.012349425
resp_rate_max,0.0120727
temperature_mean,0.011935236
map_max,0.011657057
risk_composite_mean,0.01152296
heart_rate_max,0.011521167
spo2_std,0.011517577
map_hr_ratio_mean,0.011229611
map_critical_mean,0.01097931
temperature_std,0.010609613
resp_rate_mean,0.010476895
vital_instability,0.010247198
map_range,0.009833527
sofa_total_mean,0.009672415
sofa_total_std,0.009421844
rr_critical_sum,0.009277605
spo2_temp_ratio_min,0.00886837
heart_rate_min,0.0088426415
creatinine_max,0.008832609
heart_rate_mean,0.008508447
resp_rate_min,0.008366463
sofa_map_mean,0.00831193
lactate_min,0.0077133845
map_mean,0.0076587754
sirs_score_mean,0.0074119237
risk_composite_max,0.007364224
lactate_platelets_ratio_mean,0.007351113
hr_critical_mean,0.007252893
creatinine_mean,0.0072082896
spo2_mean,0.0070282645
spo2_min,0.0070231
resp_rate_std,0.00702051
heart_rate_std,0.0069078994
creatinine_min,0.006892047
rr_critical_mean,0.0063203606
map_std,0.0060078437
sofa_x_lactate_mean,0.0058091
lactate_platelets_ratio_max,0.005796706
sirs_score_sum,0.0055406266
lactate_mean,0.0052747717
age_max,0.0052303765
sirs_score_max,0.005010067
sofa_x_hr_mean,0.004999431
lactate_high_mean,0.004956505
map_hr_ratio_max,0.0044829748
map_min,0.0039695604
sofa_x_lactate_max,0.0037296477
sofa_bilirubin_mean,0.0
sofa_map_max,0.0
sofa_creatinine_max,0.0
sofa_bilirubin_max,0.0
bilirubin_max,0.0
gender_max,0.0
sofa_total_max,0.0
sofa_total_min,0.0
bilirubin_mean,0.0
spo2_critical_sum,0.0
hr_critical_sum,0.0
map_critical_sum,0.0
spo2_critical_mean,0.0
creatinine_high_sum,0.0
lactate_high_sum,0.0
sofa_range,0.0
